index,keyword,date,search
1015,쇼츠,2026-01-09,31.96986
1016,쇼츠,2026-01-10,29.60172
1017,쇼츠,2026-01-11,24.97308
1018,쇼츠,2026-01-12,34.33799
1019,쇼츠,2026-01-13,35.6297
1020,쇼츠,2026-01-14,32.0775
1021,쇼츠,2026-01-15,37.24434
1022,쇼츠,2026-01-16,39.50484
1023,쇼츠,2026-01-17,26.48008
1024,쇼츠,2026-01-18,27.12594
1025,쇼츠,2026-01-19,31.75457
1026,쇼츠,2026-01-20,32.40043
1027,쇼츠,2026-01-21,34.66092
1028,쇼츠,2026-01-22,33.04628
1029,쇼츠,2026-01-23,30.13993
1030,쇼츠,2026-01-24,25.29601
1031,쇼츠,2026-01-25,28.74058
1032,쇼츠,2026-01-26,34.01506
1033,쇼츠,2026-01-27,34.87621
1034,쇼츠,2026-01-28,34.33799
1035,쇼츠,2026-01-29,31.96986
1036,쇼츠,2026-01-30,29.17115
1037,쇼츠,2026-01-31,31.75457
1038,쇼츠,2026-02-01,27.01829
1039,쇼츠,2026-02-02,31.75457
1040,쇼츠,2026-02-03,32.61571
1041,쇼츠,2026-02-04,36.70613
1042,쇼츠,2026-02-05,96.34015
1043,쇼츠,2026-02-06,46.50161
1044,쇼츠,2026-02-07,37.45963
1045,쇼츠,2026-02-08,31.43164
1046,쇼츠,2026-02-09,33.58449
1047,쇼츠,2026-02-10,35.95263
1048,쇼츠,2026-02-11,38.53606
1049,쇼츠,2026-02-12,36.16792
1050,쇼츠,2026-02-13,37.78256
1051,쇼츠,2026-02-14,28.74058
1052,쇼츠,2026-02-15,27.77179
1053,쇼츠,2026-02-16,25.61894
1054,쇼츠,2026-02-17,25.61894
1055,쇼츠,2026-02-18,49.73089
1056,쇼츠,2026-02-19,31.43164
1057,쇼츠,2026-02-20,33.47685
1058,쇼츠,2026-02-21,27.98708
1059,쇼츠,2026-02-22,27.44886
1060,쇼츠,2026-02-23,31.53928
1061,쇼츠,2026-02-24,33.79978
1062,쇼츠,2026-02-25,32.93864
1063,쇼츠,2026-02-26,30.67814
1064,쇼츠,2026-02-27,32.29278
1065,쇼츠,2026-02-28,31.96986
1066,쇼츠,2026-03-01,30.5705
1067,쇼츠,2026-03-02,35.30678
1068,쇼츠,2026-03-03,36.06027
1069,쇼츠,2026-03-04,33.69214
1070,쇼츠,2026-03-05,35.73735
1071,쇼츠,2026-03-06,38.75134
1072,쇼츠,2026-03-07,34.23035
1073,쇼츠,2026-03-08,33.36921
1074,쇼츠,2026-03-09,40.36598
1075,쇼츠,2026-03-10,38.53606
1076,쇼츠,2026-03-11,37.1367
1077,쇼츠,2026-03-12,35.52206
1078,쇼츠,2026-03-13,35.73735
1079,쇼츠,2026-03-14,36.81377
1080,쇼츠,2026-03-15,35.95263
1081,쇼츠,2026-03-16,41.11948
1082,쇼츠,2026-03-17,31.96986
1083,쇼츠,2026-03-18,45.53283
1084,쇼츠,2026-03-19,46.07104
1085,쇼츠,2026-03-20,39.07427
1086,쇼츠,2026-03-21,34.76856
1087,쇼츠,2026-03-22,37.1367
1088,쇼츠,2026-03-23,50.59203
1089,쇼츠,2026-03-24,47.79332
1090,쇼츠,2026-03-25,46.60925
1091,쇼츠,2026-03-26,38.96663
1092,쇼츠,2026-03-27,38.53606
1093,쇼츠,2026-03-28,38.6437
1094,쇼츠,2026-03-29,38.85898
1095,쇼츠,2026-03-30,43.16469
1096,쇼츠,2026-03-31,39.18191
1097,쇼츠,2026-04-01,38.96663
1098,쇼츠,2026-04-02,39.93541
1099,쇼츠,2026-04-03,35.6297
1100,쇼츠,2026-04-04,37.99784
1101,쇼츠,2026-04-05,39.28955
1102,쇼츠,2026-04-06,40.25834
1103,쇼츠,2026-04-07,40.58127
1104,쇼츠,2026-04-08,36.59849
1105,쇼츠,2026-04-09,42.51883
1106,쇼츠,2026-04-10,38.6437
1107,쇼츠,2026-04-11,37.24434
1108,쇼츠,2026-04-12,42.30355
1109,쇼츠,2026-04-13,46.07104
1110,쇼츠,2026-04-14,46.93218
1111,쇼츠,2026-04-15,46.28632
1112,쇼츠,2026-04-16,46.60925
1113,쇼츠,2026-04-17,48.00861
1114,쇼츠,2026-04-18,41.22712
1115,쇼츠,2026-04-19,41.65769
